symbol,start_date,end_date,enter_current_period,exit_current_period,enter_price,enter_price_open,exit_price,exit_price_open,pos_type,leverage,num_shares,PnL,PnL_percent
TGT,20030317,20030519,23,15,29.4,29.8,33.2,33.3,long,1,3365,11777.5,11.745
TGT,20030320,20030519,21,15,29.93,30.1,33.2,33.3,long,1,3309,10588.8,10.631
TGT,20030321,20030519,21,15,30.73,29.78,33.2,33.3,long,1,3132,11024.64,11.82
TGT,20030404,20030519,22,15,30.94,31.65,33.2,33.3,long,1,3295,5436.75,5.213
TGT,20030407,20030519,23,15,31.78,31.78,33.2,33.3,long,1,3084,4687.68,4.783
TGT,20030421,20030519,18,15,32.46,32.46,33.2,33.3,long,1,2900,2436.0,2.588
TGT,20030422,20030519,19,15,33.01,33.01,33.2,33.3,long,1,2806,813.74,0.879
TGT,20030506,20030519,16,15,34.33,34.33,33.2,33.3,long,1,2791,-2874.73,-3.0
TGT,20030508,20030519,15,15,34.78,34.78,33.2,33.3,long,1,2782,-4117.36,-4.255
TGT,20030509,20030519,16,15,35.27,35.15,33.2,33.3,long,1,2763,-5111.55,-5.263
TGT,20030512,20030519,16,15,36.13,34.32,33.2,33.3,long,1,2608,-2660.16,-2.972
TGT,20030602,20030929,15,31,37.16,37.17,37.55,37.5,long,1,2515,829.95,0.888
TGT,20030707,20030929,24,31,38.64,38.55,37.55,37.5,long,1,2855,-2997.75,-2.724
TGT,20030708,20030929,25,31,39.82,39.5,37.55,37.5,long,1,2675,-5350.0,-5.063
TGT,20030812,20030929,34,31,40.0,40.0,37.55,37.5,long,1,2648,-6620.0,-6.25
TGT,20030829,20030929,35,31,40.6,40.8,37.55,37.5,long,1,2681,-8847.3,-8.088
TGT,20030902,20030929,34,31,41.51,41.75,37.55,37.5,long,1,2588,-10999.0,-10.18
TGT,20030903,20030929,35,31,41.54,41.0,37.55,37.5,long,1,2614,-9149.0,-8.537
TGT,20040210,20040414,27,35,41.3,41.25,42.86,43.05,long,1,2687,4836.6,4.364
TGT,20040211,20040414,26,35,41.65,41.25,42.86,43.05,long,1,2635,4743.0,4.364
TGT,20040218,20040414,26,35,42.29,42.9,42.86,43.05,long,1,2653,397.95,0.35
