symbol,start_date,end_date,enter_current_period,exit_current_period,enter_price,enter_price_open,exit_price,exit_price_open,pos_type,leverage,num_shares,PnL,PnL_percent
TGT,20030228,20030304,16,17,28.65,28.8,26.5,26.69,long,1,3855,-8134.05,-7.326
TGT,20030317,20030519,15,15,29.4,29.8,33.2,33.3,long,1,3362,11767.0,11.745
TGT,20030320,20030519,16,15,29.93,30.1,33.2,33.3,long,1,3306,10579.2,10.631
TGT,20030321,20030519,16,15,30.73,29.78,33.2,33.3,long,1,3130,11017.6,11.82
TGT,20030404,20030519,17,15,30.94,31.65,33.2,33.3,long,1,3293,5433.45,5.213
TGT,20030407,20030519,18,15,31.78,31.78,33.2,33.3,long,1,3082,4684.64,4.783
TGT,20030421,20030519,15,15,32.46,32.46,33.2,33.3,long,1,2898,2434.32,2.588
TGT,20030422,20030519,15,15,33.01,33.01,33.2,33.3,long,1,2804,813.16,0.879
TGT,20030506,20030519,15,15,34.33,34.33,33.2,33.3,long,1,2789,-2872.67,-3.0
TGT,20030508,20030519,15,15,34.78,34.78,33.2,33.3,long,1,2780,-4114.4,-4.255
TGT,20030509,20030519,15,15,35.27,35.15,33.2,33.3,long,1,2761,-5107.85,-5.263
TGT,20030512,20030519,16,15,36.13,34.32,33.2,33.3,long,1,2606,-2658.12,-2.972
TGT,20030602,20030909,15,15,37.16,37.17,38.0,39.03,long,1,2513,4674.18,5.004
TGT,20030707,20030909,17,15,38.64,38.55,38.0,39.03,long,1,2853,1369.44,1.245
TGT,20030708,20030909,18,15,39.82,39.5,38.0,39.03,long,1,2673,-1256.31,-1.19
TGT,20030812,20030909,15,15,40.0,40.0,38.0,39.03,long,1,2646,-2566.62,-2.425
TGT,20030829,20030909,16,15,40.6,40.8,38.0,39.03,long,1,2679,-4741.83,-4.338
TGT,20030902,20030909,15,15,41.51,41.75,38.0,39.03,long,1,2586,-7033.92,-6.515
TGT,20030903,20030909,15,15,41.54,41.0,38.0,39.03,long,1,2612,-5145.64,-4.805
TGT,20031009,20031023,22,22,40.4,40.29,39.03,38.98,long,1,2558,-3350.98,-3.251
TGT,20040210,20040414,35,35,41.3,41.25,42.86,43.05,long,1,2692,4845.6,4.364
TGT,20040211,20040414,35,35,41.65,41.25,42.86,43.05,long,1,2640,4752.0,4.364
TGT,20040218,20040414,35,35,42.29,42.9,42.86,43.05,long,1,2657,398.55,0.35
TGT,20040227,20040414,34,35,43.96,44.16,42.86,43.05,long,1,2333,-2589.63,-2.514
TGT,20040311,20040414,35,35,44.7,44.8,42.86,43.05,long,1,2049,-3585.75,-3.906
TGT,20040312,20040414,35,35,45.63,45.51,42.86,43.05,long,1,1971,-4848.66,-5.405
TGT,20040602,20040628,35,34,45.38,45.0,44.04,42.75,long,1,2327,-5235.75,-5.0
TGT,20040608,20040628,33,34,46.2,45.95,44.04,42.75,long,1,2266,-7251.2,-6.964
TGT,20040827,20041217,29,35,44.94,44.9,50.53,50.92,long,1,2449,14742.98,13.408
TGT,20040902,20041217,32,35,45.73,45.77,50.53,50.92,long,1,2542,13091.3,11.252
TGT,20040903,20041217,33,35,45.93,46.0,50.53,50.92,long,1,2508,12339.36,10.696
TGT,20041007,20041217,35,35,47.13,47.14,50.53,50.92,long,1,2469,9332.82,8.019
TGT,20041019,20041217,34,35,48.46,48.45,50.53,50.92,long,1,2120,5236.4,5.098
TGT,20041027,20041217,35,35,49.45,49.37,50.53,50.92,long,1,2092,3242.6,3.14
TGT,20041028,20041217,35,35,50.0,50.0,50.53,50.92,long,1,2078,1911.76,1.84
TGT,20041029,20041217,35,35,50.02,50.02,50.53,50.92,long,1,2115,1903.5,1.799
TGT,20041101,20041217,35,35,50.47,50.5,50.53,50.92,long,1,2075,871.5,0.832
TGT,20041105,20041217,35,35,51.83,51.65,50.53,50.92,long,1,1843,-1345.39,-1.413
TGT,20041115,20041217,35,35,52.43,51.35,50.53,50.92,long,1,1849,-795.07,-0.837
TGT,20050516,20050804,21,35,49.5,49.25,56.09,55.63,long,1,1887,12039.06,12.954
TGT,20050517,20050804,20,35,50.34,50.5,56.09,55.63,long,1,1832,9398.16,10.158
TGT,20050518,20050804,19,35,52.02,52.35,56.09,55.63,long,1,1709,5605.52,6.266
TGT,20050519,20050804,18,35,52.67,52.4,56.09,55.63,long,1,1701,5494.23,6.164
TGT,20050524,20050804,16,35,52.85,52.65,56.09,55.63,long,1,1742,5191.16,5.66
TGT,20050526,20050804,16,35,53.33,53.3,56.09,55.63,long,1,1742,4058.86,4.371
TGT,20050601,20050804,18,35,53.83,54.0,56.09,55.63,long,1,1837,2994.31,3.019
TGT,20050602,20050804,19,35,54.65,54.5,56.09,55.63,long,1,1787,2019.31,2.073
TGT,20050622,20050804,23,35,55.93,55.91,56.09,55.63,long,1,1729,-484.12,-0.501
TGT,20050707,20050804,31,35,56.42,56.63,56.09,55.63,long,1,1658,-1658.0,-1.766
TGT,20050708,20050804,32,35,56.93,57.48,56.09,55.63,long,1,1632,-3019.2,-3.219
TGT,20050712,20050804,34,35,58.26,58.25,56.09,55.63,long,1,1574,-4123.88,-4.498
TGT,20050718,20050804,35,35,59.0,59.5,56.09,55.63,long,1,1617,-6257.79,-6.504
TGT,20050719,20050804,35,35,59.56,59.46,56.09,55.63,long,1,1607,-6154.81,-6.441
TGT,20050720,20050804,34,35,59.98,59.75,56.09,55.63,long,1,1557,-6414.84,-6.895
TGT,20051019,20051027,15,15,56.0,56.0,52.5,52.9,long,1,1469,-4553.9,-5.536
TGT,20051110,20051115,17,17,58.85,58.52,54.3,54.2,long,1,1291,-5577.12,-7.382
TGT,20051222,20060120,16,16,54.95,54.99,53.58,53.53,long,1,1793,-2617.78,-2.655
TGT,20051223,20060120,17,16,55.51,55.95,53.58,53.53,long,1,1775,-4295.5,-4.325
TGT,20060202,20060221,15,15,55.23,54.71,53.66,53.92,long,1,1926,-1521.54,-1.444
TGT,20060214,20060221,15,15,55.43,55.1,53.66,53.92,long,1,1998,-2357.64,-2.142
TGT,20060215,20060221,15,15,55.8,54.9,53.66,53.92,long,1,1948,-1909.04,-1.785
TGT,20060505,20060515,31,31,54.54,55.0,50.02,50.0,long,1,2046,-10230.0,-9.091
TGT,20060508,20060515,31,31,54.71,54.69,50.02,50.0,long,1,2055,-9637.95,-8.576
TGT,20060711,20060714,35,35,50.14,50.14,47.74,47.93,long,1,2433,-5376.93,-4.408
TGT,20060908,20061019,33,20,50.56,50.4,57.42,57.69,long,1,1876,13676.04,14.464
TGT,20060911,20061019,33,20,51.25,51.3,57.42,57.69,long,1,1810,11565.9,12.456
TGT,20060912,20061019,33,20,52.5,52.25,57.42,57.69,long,1,1722,9367.68,10.411
TGT,20060913,20061019,33,20,52.81,52.69,57.42,57.69,long,1,1732,8660.0,9.489
TGT,20060914,20061019,32,20,53.26,53.55,57.42,57.69,long,1,1692,7004.88,7.731
TGT,20060915,20061019,31,20,53.64,53.45,57.42,57.69,long,1,1692,7174.08,7.933
TGT,20060919,20061019,30,20,54.39,54.58,57.42,57.69,long,1,1702,5293.22,5.698
TGT,20060920,20061019,29,20,55.02,55.3,57.42,57.69,long,1,1686,4029.54,4.322
TGT,20060925,20061019,26,20,55.88,55.75,57.42,57.69,long,1,1597,3098.18,3.48
TGT,20061003,20061019,21,20,56.81,56.49,57.42,57.69,long,1,1544,1852.8,2.124
TGT,20061004,20061019,21,20,57.63,57.8,57.42,57.69,long,1,1486,-163.46,-0.19
TGT,20061005,20061019,21,20,58.68,58.49,57.42,57.69,long,1,1438,-1150.4,-1.368
TGT,20061012,20061019,21,20,59.64,59.1,57.42,57.69,long,1,1484,-2092.44,-2.386
TGT,20061023,20061102,20,20,59.72,59.35,56.96,57.25,long,1,1652,-3469.2,-3.538
TGT,20061214,20061222,20,20,59.75,59.99,57.32,57.32,long,1,1718,-4587.06,-4.451
TGT,20070112,20070227,20,21,60.31,60.22,59.4,60.43,long,1,1893,397.53,0.349
TGT,20070116,20070227,20,21,60.84,60.93,59.4,60.43,long,1,1869,-934.5,-0.821
TGT,20070118,20070227,20,21,61.51,61.87,59.4,60.43,long,1,1723,-2481.12,-2.327
TGT,20070119,20070227,21,21,62.35,62.35,59.4,60.43,long,1,1690,-3244.8,-3.079
TGT,20070206,20070227,25,21,62.71,62.94,59.4,60.43,long,1,1736,-4357.36,-3.988
TGT,20070220,20070227,24,21,64.32,64.0,59.4,60.43,long,1,1679,-5994.03,-5.578
TGT,20070420,20070430,18,19,62.12,62.01,59.37,59.11,long,1,1582,-4587.8,-4.677
TGT,20070530,20070724,21,16,61.08,61.3,64.8,65.0,long,1,1663,6153.1,6.036
TGT,20070531,20070724,22,16,62.43,62.41,64.8,65.0,long,1,1569,4063.71,4.15
TGT,20070601,20070724,22,16,63.67,63.28,64.8,65.0,long,1,1495,2571.4,2.718
TGT,20070604,20070724,22,16,63.85,63.32,64.8,65.0,long,1,1510,2536.8,2.653
TGT,20070605,20070724,23,16,63.96,63.55,64.8,65.0,long,1,1514,2195.3,2.282
TGT,20070606,20070724,22,16,64.1,63.7,64.8,65.0,long,1,1501,1951.3,2.041
TGT,20070706,20070724,18,16,68.1,67.61,64.8,65.0,long,1,1246,-3252.06,-3.86
TGT,20070712,20070724,16,16,70.04,69.75,64.8,65.0,long,1,992,-4712.0,-6.81
TGT,20070713,20070724,16,16,70.14,70.67,64.8,65.0,long,1,975,-5528.25,-8.023
TGT,20070918,20070925,19,17,67.276,67.5,61.35,61.84,long,1,716,-4052.56,-8.385
TGT,20080131,20080317,27,28,55.42,55.35,48.5,49.33,long,1,891,-5363.82,-10.876
TGT,20080201,20080317,27,28,57.05,57.17,48.5,49.33,long,1,859,-6734.56,-13.713
TGT,20080418,20080611,35,35,54.6,54.5,51.61,51.97,long,1,1320,-3339.6,-4.642
TGT,20080515,20080611,34,35,55.1,54.98,51.61,51.97,long,1,1435,-4319.35,-5.475
TGT,20080826,20080922,35,35,52.95,52.61,49.8,50.07,long,1,1105,-2806.7,-4.828
TGT,20080828,20080922,35,35,53.88,53.41,49.8,50.07,long,1,1121,-3744.14,-6.254
TGT,20080902,20080922,35,35,55.04,55.0,49.8,50.07,long,1,1093,-5388.49,-8.964
TGT,20080908,20080922,34,35,57.89,58.05,49.8,50.07,long,1,963,-7684.74,-13.747
TGT,20090326,20090527,35,35,34.93,34.38,39.6,39.9,long,1,1688,9317.76,16.056
TGT,20090402,20090527,35,35,36.06,35.87,39.6,39.9,long,1,1607,6476.21,11.235
TGT,20090408,20090527,35,35,37.6,38.59,39.6,39.9,long,1,1539,2016.09,3.395
TGT,20090409,20090527,35,35,39.89,39.43,39.6,39.9,long,1,1417,665.99,1.192
TGT,20090413,20090527,35,35,40.22,39.64,39.6,39.9,long,1,1417,368.42,0.656
TGT,20090430,20090527,35,35,41.26,40.38,39.6,39.9,long,1,1399,-671.52,-1.189
TGT,20090507,20090527,35,35,42.67,43.82,39.6,39.9,long,1,1331,-5217.52,-8.946
