symbol,start_date,end_date,enter_current_period,exit_current_period,enter_price,enter_price_open,exit_price,exit_price_open,pos_type,leverage,num_shares,PnL,PnL_percent
COKE,20030606,20030806,62,51,54.47,54.17,51.38,51.4,long,1,1690,-4681.3,-5.114
COKE,20030609,20030806,62,51,55.43,55.4,51.38,51.4,long,1,1582,-6328.0,-7.22
COKE,20030610,20030806,62,51,56.26,55.76,51.38,51.4,long,1,1563,-6814.68,-7.819
COKE,20030611,20030806,61,51,57.89,57.9,51.38,51.4,long,1,1440,-9360.0,-11.226
COKE,20030612,20030806,60,51,61.34,60.0,51.38,51.4,long,1,1177,-10122.2,-14.333
COKE,20030613,20030806,61,51,65.0,65.64,51.38,51.4,long,1,918,-13072.32,-21.694
COKE,20031112,20040127,51,35,53.531,54.0,52.28,52.501,long,1,1775,-2660.725,-2.776
COKE,20031119,20040127,48,35,54.67,53.501,52.28,52.501,long,1,1577,-1577.0,-1.869
COKE,20040405,20040517,35,35,52.65,52.62,52.14,52.26,long,1,2766,-995.76,-0.684
COKE,20040406,20040517,35,35,53.15,53.28,52.14,52.26,long,1,2694,-2747.88,-1.914
COKE,20040407,20040517,35,35,53.31,53.59,52.14,52.26,long,1,2664,-3543.12,-2.482
COKE,20040408,20040517,35,35,54.16,53.99,52.14,52.26,long,1,2497,-4319.81,-3.204
COKE,20040504,20040517,35,35,55.0,55.7,52.14,52.26,long,1,1747,-6009.68,-6.176
COKE,20040505,20040517,35,35,55.95,55.5,52.14,52.26,long,1,1702,-5514.48,-5.838
COKE,20040604,20040720,35,35,57.2,57.5,56.05,55.48,long,1,1663,-3359.26,-3.513
COKE,20040610,20040720,35,35,58.02,58.45,56.05,55.48,long,1,1707,-5069.79,-5.081
COKE,20040622,20040720,35,35,58.77,58.09,56.05,55.48,long,1,1404,-3664.44,-4.493
COKE,20041214,20050113,38,35,54.87,54.101,53.35,53.2,long,1,1582,-1425.382,-1.665
COKE,20041215,20050113,38,35,55.0,53.55,53.35,53.2,long,1,1581,-553.35,-0.654
COKE,20041222,20050113,35,35,55.41,54.9,53.35,53.2,long,1,1535,-2609.5,-3.097
COKE,20041227,20050113,36,35,55.57,55.71,53.35,53.2,long,1,1533,-3847.83,-4.505
COKE,20041228,20050113,35,35,55.95,56.23,53.35,53.2,long,1,1554,-4708.62,-5.389
COKE,20041229,20050113,35,35,56.9,56.94,53.35,53.2,long,1,1519,-5681.06,-6.568
COKE,20041230,20050113,35,35,57.3,57.255,53.35,53.2,long,1,1484,-6017.62,-7.082
COKE,20050711,20050804,38,35,52.99,52.59,51.24,50.61,long,1,1850,-3663.0,-3.765
