symbol,start_date,end_date,enter_current_period,exit_current_period,enter_price,enter_price_open,exit_price,exit_price_open,pos_type,leverage,num_shares,PnL,PnL_percent
CVX,20030305,20030312,19,20,32.975,32.98,31.525,32.075,long,1,5307,-4802.835,-2.744
CVX,20030505,20030519,19,15,33.59,33.6,33.155,33.3,long,1,5207,-1562.1,-0.893
CVX,20030512,20030519,17,15,34.125,34.125,33.155,33.3,long,1,5036,-4154.7,-2.418
CVX,20030513,20030519,16,15,34.325,34.575,33.155,33.3,long,1,4919,-6271.725,-3.688
CVX,20030527,20030627,16,17,35.325,34.62,36.19,36.175,long,1,4834,7516.87,4.492
CVX,20030602,20030627,17,17,36.04,36.04,36.19,36.175,long,1,4456,601.56,0.375
CVX,20030603,20030627,16,17,36.47,36.485,36.19,36.175,long,1,4381,-1358.11,-0.85
CVX,20030604,20030627,16,17,36.89,36.89,36.19,36.175,long,1,4262,-3047.33,-1.938
CVX,20030605,20030627,16,17,37.135,37.15,36.19,36.175,long,1,4211,-4105.725,-2.624
CVX,20030611,20030627,16,17,37.805,37.86,36.19,36.175,long,1,4113,-6930.405,-4.451
CVX,20030811,20030917,17,21,36.6,36.675,36.135,36.135,long,1,4769,-2575.26,-1.472
CVX,20030812,20030917,16,21,36.955,37.125,36.135,36.135,long,1,4640,-4593.6,-2.667
CVX,20031013,20031030,19,22,37.225,37.23,35.88,36.5,long,1,4686,-3420.78,-1.961
CVX,20031014,20031030,19,22,37.495,37.5,35.88,36.5,long,1,4570,-4570.0,-2.667
CVX,20031113,20040311,19,22,37.875,37.25,43.465,43.565,long,1,4602,29061.63,16.953
CVX,20031204,20040311,19,22,38.81,38.8,43.465,43.565,long,1,4412,21023.18,12.281
CVX,20031205,20040311,19,22,39.0,38.995,43.465,43.565,long,1,4314,19714.98,11.719
CVX,20031208,20040311,19,22,39.305,39.675,43.465,43.565,long,1,4205,16357.45,9.805
CVX,20031209,20040311,18,22,39.44,39.5,43.465,43.565,long,1,4118,16739.67,10.291
CVX,20031212,20040311,20,22,40.125,40.13,43.465,43.565,long,1,3977,13660.995,8.56
CVX,20031216,20040311,20,22,40.35,40.6,43.465,43.565,long,1,3885,11519.025,7.303
CVX,20031217,20040311,20,22,40.87,41.375,43.465,43.565,long,1,3769,8254.11,5.293
CVX,20031218,20040311,21,22,41.775,41.825,43.465,43.565,long,1,3572,6215.28,4.16
CVX,20031229,20040311,21,22,42.75,42.725,43.465,43.565,long,1,3479,2922.36,1.966
CVX,20031230,20040311,21,22,43.03,43.225,43.465,43.565,long,1,3396,1154.64,0.787
CVX,20040105,20040311,22,22,43.775,43.31,43.465,43.565,long,1,3279,836.145,0.589
CVX,20040301,20040311,21,22,45.135,44.885,43.465,43.565,long,1,3125,-4125.0,-2.941
CVX,20040308,20040311,21,22,45.35,45.35,43.465,43.565,long,1,3056,-5454.96,-3.936
CVX,20040412,20040421,17,15,45.735,45.75,44.935,44.8,long,1,3501,-3325.95,-2.077
CVX,20040427,20040510,18,20,46.445,46.525,44.585,44.585,long,1,3370,-6537.8,-4.17
CVX,20040505,20040510,20,20,47.195,47.1,44.585,44.585,long,1,2937,-7386.555,-5.34
CVX,20040617,20040819,18,19,46.39,46.4,46.55,46.78,long,1,3231,1227.78,0.819
CVX,20040618,20040819,18,19,46.71,46.675,46.55,46.78,long,1,3216,337.68,0.225
CVX,20040623,20040819,17,19,47.44,47.35,46.55,46.78,long,1,3188,-1817.16,-1.204
CVX,20040803,20040819,20,19,49.33,49.33,46.55,46.78,long,1,3296,-8404.8,-5.169
CVX,20040831,20041018,17,18,48.75,48.8,52.91,52.41,long,1,3201,11555.61,7.398
CVX,20040901,20041018,17,18,49.335,49.39,52.91,52.41,long,1,3104,9374.08,6.115
CVX,20040902,20041018,17,18,49.825,49.83,52.91,52.41,long,1,3033,7825.14,5.178
CVX,20040903,20041018,17,18,49.885,49.635,52.91,52.41,long,1,3041,8438.775,5.591
CVX,20040909,20041018,16,18,50.54,50.665,52.91,52.41,long,1,3008,5248.96,3.444
CVX,20040913,20041018,17,18,50.94,51.0,52.91,52.41,long,1,2856,4026.96,2.765
CVX,20040914,20041018,18,18,51.22,51.3,52.91,52.41,long,1,2825,3135.75,2.164
CVX,20040917,20041018,18,18,51.94,52.0,52.91,52.41,long,1,2770,1135.7,0.788
CVX,20040920,20041018,18,18,52.03,52.21,52.91,52.41,long,1,2758,551.6,0.383
CVX,20040921,20041018,18,18,53.52,53.27,52.91,52.41,long,1,2448,-2105.28,-1.614
CVX,20040927,20041018,18,18,53.7,54.0,52.91,52.41,long,1,2318,-3685.62,-2.944
CVX,20040928,20041018,19,18,54.07,54.02,52.91,52.41,long,1,2258,-3635.38,-2.98
CVX,20041006,20041018,19,18,55.41,55.2,52.91,52.41,long,1,2158,-6020.82,-5.054
CVX,20041105,20041202,16,17,54.53,54.5,52.48,52.32,long,1,2211,-4819.98,-4.0
CVX,20041122,20041202,16,17,54.8,54.8,52.48,52.32,long,1,2097,-5200.56,-4.526
CVX,20050118,20050310,16,25,53.09,53.11,58.49,58.25,long,1,2412,12397.68,9.678
CVX,20050126,20050310,15,25,53.54,53.55,58.49,58.25,long,1,2429,11416.3,8.777
CVX,20050127,20050310,15,25,54.06,54.07,58.49,58.25,long,1,2386,9973.48,7.731
CVX,20050131,20050310,15,25,54.4,54.65,58.49,58.25,long,1,2282,8215.2,6.587
CVX,20050201,20050310,15,25,55.15,55.19,58.49,58.25,long,1,2227,6814.62,5.544
CVX,20050202,20050310,15,25,55.53,55.53,58.49,58.25,long,1,2195,5970.4,4.898
CVX,20050203,20050310,16,25,56.24,56.33,58.49,58.25,long,1,2124,4078.08,3.408
CVX,20050204,20050310,17,25,56.74,56.75,58.49,58.25,long,1,2074,3111.0,2.643
CVX,20050210,20050310,17,25,57.4,57.5,58.49,58.25,long,1,1975,1481.25,1.304
CVX,20050211,20050310,18,25,58.16,57.76,58.49,58.25,long,1,1882,922.18,0.848
CVX,20050216,20050310,21,25,59.5,59.57,58.49,58.25,long,1,1809,-2387.88,-2.216
CVX,20050224,20050310,23,25,61.16,61.16,58.49,58.25,long,1,1521,-4426.11,-4.758
CVX,20050225,20050310,23,25,61.94,62.23,58.49,58.25,long,1,1412,-5619.76,-6.396
CVX,20050609,20051006,23,35,56.01,56.01,60.0,60.37,long,1,1730,7542.8,7.784
CVX,20050610,20051006,24,35,56.3,56.3,60.0,60.37,long,1,1728,7032.96,7.229
CVX,20050615,20051006,26,35,56.84,57.03,60.0,60.37,long,1,1795,5995.3,5.857
CVX,20050616,20051006,27,35,57.92,58.75,60.0,60.37,long,1,1730,2802.6,2.757
CVX,20050617,20051006,28,35,58.97,59.13,60.0,60.37,long,1,1649,2044.76,2.097
CVX,20050620,20051006,29,35,59.34,59.09,60.0,60.37,long,1,1635,2092.8,2.166
CVX,20050803,20051006,35,35,60.35,60.35,60.0,60.37,long,1,1528,30.56,0.033
CVX,20050804,20051006,35,35,60.41,60.4,60.0,60.37,long,1,1537,-46.11,-0.05
CVX,20050808,20051006,35,35,61.26,61.5,60.0,60.37,long,1,1479,-1671.27,-1.837
CVX,20050810,20051006,35,35,62.48,62.48,60.0,60.37,long,1,1435,-3027.85,-3.377
CVX,20050909,20051006,35,35,63.81,63.81,60.0,60.37,long,1,1393,-4791.92,-5.391
CVX,20050919,20051006,35,35,64.31,64.31,60.0,60.37,long,1,1386,-5460.84,-6.127
CVX,20050929,20051006,35,35,65.77,65.69,60.0,60.37,long,1,1301,-6921.32,-8.099
CVX,20060117,20060202,32,35,61.86,61.98,58.51,58.12,long,1,1519,-5863.34,-6.228
CVX,20060405,20060908,35,35,59.5,59.65,64.22,63.63,long,1,1702,6773.96,6.672
CVX,20060418,20060908,35,35,60.87,60.49,64.22,63.63,long,1,1593,5002.02,5.191
CVX,20060419,20060908,35,35,61.01,60.7,64.22,63.63,long,1,1557,4562.01,4.827
CVX,20060421,20060908,35,35,61.48,61.57,64.22,63.63,long,1,1467,3022.02,3.346
CVX,20060502,20060908,35,35,62.8,62.74,64.22,63.63,long,1,1286,1144.54,1.419
CVX,20060705,20060908,35,35,63.88,63.88,64.22,63.63,long,1,1202,-300.5,-0.391
CVX,20060711,20060908,35,35,65.3,65.55,64.22,63.63,long,1,1182,-2269.44,-2.929
CVX,20060714,20060908,35,35,66.38,65.71,64.22,63.63,long,1,1145,-2381.6,-3.165
CVX,20060725,20060908,35,35,66.95,66.96,64.22,63.63,long,1,1084,-3609.72,-4.973
CVX,20060726,20060908,35,35,67.5,68.44,64.22,63.63,long,1,1073,-5161.13,-7.028
CVX,20061024,20070103,34,35,66.89,66.66,70.97,70.9,long,1,1378,5842.72,6.361
