symbol,start_date,end_date,enter_current_period,exit_current_period,enter_price,enter_price_open,exit_price,exit_price_open,pos_type,leverage,num_shares,PnL,PnL_percent
NFLX,20030214,20030311,18,15,1.017,1.022,1.107,1.104,long,1,172050,14009.786,7.966
NFLX,20030218,20030311,17,15,1.047,1.059,1.107,1.104,long,1,164185,7388.325,4.251
NFLX,20030219,20030311,16,15,1.082,1.106,1.107,1.104,long,1,156198,-446.28,-0.258
NFLX,20030220,20030311,15,15,1.099,1.1,1.107,1.104,long,1,151080,539.571,0.325
NFLX,20030227,20030311,15,15,1.179,1.188,1.107,1.104,long,1,138360,-11661.771,-7.096
NFLX,20030228,20030311,15,15,1.222,1.208,1.107,1.104,long,1,131092,-13671.023,-8.634
NFLX,20030317,20030519,18,17,1.286,1.321,1.485,1.525,long,1,136143,27714.825,15.405
NFLX,20030318,20030519,18,17,1.339,1.364,1.485,1.525,long,1,128410,20729.043,11.839
NFLX,20030319,20030519,17,17,1.374,1.389,1.485,1.525,long,1,122950,16686.071,9.769
NFLX,20030326,20030519,17,17,1.471,1.464,1.485,1.525,long,1,112823,6849.968,4.146
NFLX,20030327,20030519,16,17,1.552,1.554,1.485,1.525,long,1,105085,-3002.429,-1.839
NFLX,20030421,20030519,20,17,1.759,1.749,1.485,1.525,long,1,91089,-20423.455,-12.818
NFLX,20030513,20030519,17,17,1.796,1.849,1.485,1.525,long,1,87645,-28359.418,-17.504
NFLX,20030702,20030716,18,19,1.94,1.921,1.82,1.803,long,1,90525,-10733.679,-6.171
NFLX,20030703,20030716,18,19,1.982,1.964,1.82,1.803,long,1,87050,-14052.357,-8.218
NFLX,20030821,20031117,26,35,2.059,2.069,3.19,3.229,long,1,85043,98589.135,56.023
NFLX,20030826,20031117,29,35,2.128,2.143,3.19,3.229,long,1,80862,87793.029,50.667
NFLX,20030827,20031117,30,35,2.312,2.356,3.19,3.229,long,1,73115,63818.95,37.053
NFLX,20030829,20031117,31,35,2.381,2.374,3.19,3.229,long,1,69766,59649.93,36.022
NFLX,20030909,20031117,30,35,2.536,2.521,3.19,3.229,long,1,64337,45495.45,28.045
NFLX,20030922,20031117,28,35,2.771,2.796,3.19,3.229,long,1,57866,25006.379,15.453
NFLX,20031002,20031117,34,35,2.926,2.939,3.19,3.229,long,1,53829,15571.961,9.842
NFLX,20031007,20031117,35,35,3.146,3.199,3.19,3.229,long,1,49189,1475.67,0.938
NFLX,20031013,20031117,35,35,3.345,3.369,3.19,3.229,long,1,45459,-6364.26,-4.156
NFLX,20031014,20031117,35,35,3.373,3.385,3.19,3.229,long,1,44295,-6929.004,-4.621
NFLX,20031016,20031117,35,35,3.704,3.675,3.19,3.229,long,1,39633,-17693.304,-12.148
NFLX,20031020,20031117,35,35,3.91,3.946,3.19,3.229,long,1,36883,-26476.725,-18.19
NFLX,20031028,20031117,35,35,4.034,4.107,3.19,3.229,long,1,35122,-30857.186,-21.391
NFLX,20031029,20031117,35,35,4.219,4.31,3.19,3.229,long,1,33000,-35687.143,-25.091
NFLX,20031224,20040219,32,33,4.07,4.064,4.879,4.829,long,1,44273,33837.221,18.805
NFLX,20031226,20040219,33,33,4.157,4.179,4.879,4.829,long,1,42586,27650.481,15.536
NFLX,20040106,20040219,35,33,4.258,4.307,4.879,4.829,long,1,40851,21300.879,12.106
NFLX,20040107,20040219,35,33,4.446,4.539,4.879,4.829,long,1,38440,11120.143,6.373
NFLX,20040112,20040219,35,33,4.575,4.599,4.879,4.829,long,1,36700,8441.0,5.002
NFLX,20040113,20040219,35,33,4.665,4.64,4.879,4.829,long,1,35362,6653.108,4.054
NFLX,20040120,20040219,35,33,4.839,4.859,4.879,4.829,long,1,33492,-1004.76,-0.617
NFLX,20040122,20040219,35,33,5.547,5.536,4.879,4.829,long,1,28707,-20299.95,-12.774
NFLX,20040408,20040429,35,35,5.379,5.421,3.721,3.76,long,1,33808,-56169.577,-30.646
NFLX,20040628,20040716,35,35,4.857,4.979,3.289,3.128,long,1,37241,-68901.17,-37.162
NFLX,20040630,20040716,35,35,5.143,5.1,3.289,3.128,long,1,34556,-68129.622,-38.658
NFLX,20041005,20041015,35,35,2.579,2.496,1.471,1.514,long,1,69240,-67954.114,-39.325
NFLX,20041213,20050106,34,31,1.826,1.814,1.579,1.587,long,1,97085,-22052.164,-12.52
NFLX,20050406,20051026,29,19,1.586,1.577,3.569,3.674,long,1,111524,233881.76,132.971
NFLX,20050407,20051026,30,19,1.606,1.626,3.569,3.674,long,1,108207,221669.769,126.011
NFLX,20050408,20051026,30,19,1.716,1.72,3.569,3.674,long,1,99498,194447.52,113.621
NFLX,20050511,20051026,31,19,1.85,1.857,3.569,3.674,long,1,90660,164742.171,97.846
NFLX,20050512,20051026,30,19,1.976,1.956,3.569,3.674,long,1,83406,143339.169,87.874
NFLX,20050513,20051026,29,19,2.04,2.069,3.569,3.674,long,1,79364,127435.909,77.624
NFLX,20050516,20051026,28,19,2.121,2.099,3.569,3.674,long,1,74982,118096.65,75.026
NFLX,20050518,20051026,28,19,2.214,2.704,3.569,3.674,long,1,70581,68463.57,35.869
NFLX,20050519,20051026,28,19,2.304,2.294,3.569,3.674,long,1,66637,91959.06,60.149
NFLX,20050726,20051026,30,19,2.716,2.709,3.569,3.674,long,1,55552,53647.36,35.654
NFLX,20050803,20051026,26,19,2.984,2.977,3.569,3.674,long,1,49668,34625.691,23.417
NFLX,20050808,20051026,26,19,3.109,3.171,3.569,3.674,long,1,46848,23557.851,15.856
NFLX,20050906,20051026,27,19,3.251,3.25,3.569,3.674,long,1,44005,18670.693,13.055
NFLX,20050908,20051026,29,19,3.441,3.474,3.569,3.674,long,1,40848,8169.6,5.757
NFLX,20050909,20051026,29,19,3.567,3.597,3.569,3.674,long,1,38719,2986.894,2.145
NFLX,20050912,20051026,29,19,3.601,3.616,3.569,3.674,long,1,37679,2206.913,1.62
NFLX,20050930,20051026,19,19,3.713,3.711,3.569,3.674,long,1,35909,-1333.763,-1.001
NFLX,20051003,20051026,20,19,3.806,3.866,3.569,3.674,long,1,34420,-6588.971,-4.952
NFLX,20051004,20051026,21,19,3.856,3.817,3.569,3.674,long,1,33379,-4768.429,-3.743
NFLX,20051010,20051026,23,19,4.099,4.143,3.569,3.674,long,1,30851,-14455.897,-11.31
NFLX,20051110,20051129,27,28,4.221,4.221,3.857,3.861,long,1,48206,-17354.16,-8.528
NFLX,20051111,20051129,27,28,4.296,4.3,3.857,3.861,long,1,46543,-20412.43,-10.199
NFLX,20060125,20060515,22,35,4.084,4.073,4.064,4.071,long,1,49664,-70.949,-0.035
NFLX,20060322,20060515,35,35,4.007,4.011,4.064,4.071,long,1,49734,2984.04,1.496
NFLX,20060323,20060515,35,35,4.041,4.024,4.064,4.071,long,1,48449,2284.024,1.171
NFLX,20060324,20060515,35,35,4.096,4.057,4.064,4.071,long,1,46970,671.0,0.352
NFLX,20060327,20060515,35,35,4.127,4.141,4.064,4.071,long,1,45797,-3205.79,-1.69
NFLX,20060329,20060515,35,35,4.173,4.159,4.064,4.071,long,1,44503,-3878.119,-2.095
NFLX,20060418,20060515,35,35,4.257,4.253,4.064,4.071,long,1,42858,-7775.666,-4.266
NFLX,20060419,20060515,35,35,4.44,4.437,4.064,4.071,long,1,40374,-14765.349,-8.242
NFLX,20060912,20061018,25,24,3.107,3.071,3.199,3.183,long,1,65130,7303.864,3.652
NFLX,20060913,20061018,24,24,3.18,3.161,3.199,3.183,long,1,62524,1339.8,0.678
NFLX,20060914,20061018,23,24,3.211,3.236,3.199,3.183,long,1,60829,-3215.247,-1.634
NFLX,20060915,20061018,23,24,3.246,3.264,3.199,3.183,long,1,59133,-4815.116,-2.495
NFLX,20060921,20061018,21,24,3.276,3.277,3.199,3.183,long,1,57566,-5427.651,-2.877
NFLX,20061005,20061018,20,24,3.407,3.407,3.199,3.183,long,1,54377,-12195.984,-6.583
NFLX,20061006,20061018,21,24,3.444,3.456,3.199,3.183,long,1,52849,-14420.227,-7.896
NFLX,20061024,20061207,20,15,3.91,3.949,3.961,3.964,long,1,51615,811.093,0.398
NFLX,20061108,20061207,18,15,4.126,4.119,3.961,3.964,long,1,48060,-7414.971,-3.746
NFLX,20061113,20061207,18,15,4.213,4.237,3.961,3.964,long,1,46242,-12617.46,-6.44
NFLX,20070404,20070418,28,26,3.504,3.491,3.1,3.019,long,1,57508,-27193.069,-13.543
NFLX,20070410,20070418,29,26,3.551,3.531,3.1,3.019,long,1,55752,-28592.811,-14.523
NFLX,20070522,20070612,24,27,3.286,3.284,2.869,2.786,long,1,61027,-30426.319,-15.181
NFLX,20070523,20070612,25,27,3.313,3.296,2.869,2.786,long,1,59468,-30328.68,-15.475
NFLX,20070607,20070612,25,27,3.419,3.429,2.869,2.786,long,1,56620,-36398.571,-18.75
NFLX,20070918,20071115,35,35,2.747,2.786,3.437,3.434,long,1,72369,46936.466,23.282
NFLX,20070919,20071115,35,35,2.806,2.743,3.437,3.434,long,1,69618,48135.874,25.208
NFLX,20070925,20071115,35,35,3.001,3.0,3.437,3.434,long,1,63940,27768.229,14.476
NFLX,20070926,20071115,35,35,3.134,3.111,3.437,3.434,long,1,60158,19422.44,10.376
NFLX,20071008,20071115,35,35,3.181,3.179,3.437,3.434,long,1,58229,14889.987,8.045
NFLX,20071009,20071115,35,35,3.256,3.239,3.437,3.434,long,1,55905,10941.407,6.043
NFLX,20071010,20071115,34,35,3.346,3.344,3.437,3.434,long,1,53449,4810.41,2.691
NFLX,20071023,20071115,35,35,3.713,3.613,3.437,3.434,long,1,47321,-8450.179,-4.943
NFLX,20071029,20071115,35,35,3.767,3.734,3.437,3.434,long,1,45823,-13746.9,-8.034
NFLX,20071030,20071115,35,35,3.777,3.783,3.437,3.434,long,1,44902,-15651.554,-9.215
NFLX,20071106,20071115,35,35,3.89,3.843,3.437,3.434,long,1,42836,-17501.566,-10.632
NFLX,20071221,20080422,34,35,4.014,4.014,4.286,4.303,long,1,49984,14423.954,7.189
NFLX,20080225,20080422,35,35,4.0,3.973,4.286,4.303,long,1,49285,16264.05,8.306
NFLX,20080226,20080422,35,35,4.143,4.37,4.286,4.303,long,1,46752,-3139.063,-1.536
NFLX,20080227,20080422,35,35,4.633,4.517,4.286,4.303,long,1,41076,-8802.0,-4.744
NFLX,20080318,20080422,34,35,5.0,4.999,4.286,4.303,long,1,37394,-26015.54,-13.918
NFLX,20080320,20080422,34,35,5.177,5.334,4.286,4.303,long,1,35482,-36597.149,-19.336
NFLX,20080324,20080422,34,35,5.453,5.491,4.286,4.303,long,1,33099,-39340.526,-21.644
NFLX,20080417,20080422,35,35,5.814,5.819,4.286,4.303,long,1,30498,-46226.254,-26.05
NFLX,20080811,20080905,26,27,4.6,4.619,4.237,4.31,long,1,43171,-13321.337,-6.681
NFLX,20081205,20090302,15,16,3.61,3.571,4.907,4.899,long,1,54949,72925.173,37.16
NFLX,20081208,20090302,15,16,3.644,3.599,4.907,4.899,long,1,53480,69524.0,36.125
NFLX,20081209,20090302,15,16,4.013,4.041,4.907,4.899,long,1,47718,40901.143,21.209
NFLX,20090105,20090302,15,16,4.563,4.591,4.907,4.899,long,1,41231,12663.807,6.689
NFLX,20090106,20090302,15,16,4.706,4.716,4.907,4.899,long,1,39280,7182.629,3.878
NFLX,20090108,20090302,15,16,4.736,4.77,4.907,4.899,long,1,38348,4930.457,2.695
NFLX,20090127,20090302,17,16,4.974,4.999,4.907,4.899,long,1,35870,-3587.0,-2.001
NFLX,20090128,20090302,17,16,5.166,5.057,4.907,4.899,long,1,33936,-5381.28,-3.136
NFLX,20090129,20090302,17,16,5.269,5.136,4.907,4.899,long,1,32691,-7752.437,-4.618
NFLX,20090212,20090302,17,16,5.419,5.429,4.907,4.899,long,1,31230,-16551.9,-9.763
NFLX,20090213,20090302,16,16,5.506,5.43,4.907,4.899,long,1,30198,-16048.08,-9.787
NFLX,20090312,20090507,19,34,5.709,5.704,5.71,5.717,long,1,35207,452.661,0.225
NFLX,20090317,20090507,21,34,5.827,5.814,5.71,5.717,long,1,33887,-3291.88,-1.671
NFLX,20090318,20090507,21,34,5.946,6.064,5.71,5.717,long,1,32630,-11327.271,-5.724
NFLX,20090323,20090507,21,34,6.2,6.146,5.71,5.717,long,1,30744,-13176.0,-6.974
NFLX,20090324,20090507,21,34,6.203,6.176,5.71,5.717,long,1,30192,-13845.189,-7.425
NFLX,20090406,20090507,22,34,6.357,6.35,5.71,5.717,long,1,28944,-18317.417,-9.966
NFLX,20090409,20090507,23,34,6.707,6.707,5.71,5.717,long,1,26953,-26683.47,-14.76
NFLX,20090413,20090507,24,34,7.06,6.947,5.71,5.717,long,1,25158,-30944.34,-17.705
NFLX,20090714,20090724,15,15,6.186,6.259,6.029,6.016,long,1,32153,-7808.586,-3.88
NFLX,20090715,20090724,15,15,6.344,6.257,6.029,6.016,long,1,30801,-7436.241,-3.858
NFLX,20090720,20090724,15,15,6.403,6.404,6.029,6.016,long,1,29985,-11651.314,-6.067
NFLX,20090722,20090724,15,15,6.469,6.547,6.029,6.016,long,1,29161,-15496.989,-8.117
NFLX,20090723,20090724,15,15,6.637,6.321,6.029,6.016,long,1,27923,-8536.46,-4.836
NFLX,20090916,20091001,18,17,6.686,6.616,6.374,6.363,long,1,29597,-7483.813,-3.822
NFLX,20090918,20091001,18,17,6.771,6.667,6.374,6.363,long,1,28711,-8736.347,-4.564
NFLX,20090921,20091001,18,17,6.786,6.843,6.374,6.363,long,1,28149,-13511.52,-7.015
NFLX,20091014,20091217,17,26,6.867,6.754,7.676,7.701,long,1,28731,27212.361,14.023
NFLX,20091015,20091217,16,26,7.193,7.08,7.676,7.701,long,1,26950,16747.5,8.777
NFLX,20091023,20091217,19,26,7.841,7.966,7.676,7.701,long,1,24288,-6418.971,-3.318
NFLX,20091109,20091217,15,26,8.171,8.13,7.676,7.701,long,1,22899,-9813.857,-5.271
NFLX,20091110,20091217,15,26,8.343,8.444,7.676,7.701,long,1,22036,-16369.6,-8.797
NFLX,20091111,20091217,15,26,8.491,8.493,7.676,7.701,long,1,21272,-16835.269,-9.319
NFLX,20091117,20091217,16,26,8.679,8.687,7.676,7.701,long,1,20449,-20156.871,-11.347
NFLX,20091118,20091217,17,26,8.733,8.671,7.676,7.701,long,1,19966,-19367.02,-11.186
NFLX,20100128,20100507,25,15,9.006,8.963,13.013,13.747,long,1,21815,104369.193,53.379
NFLX,20100216,20100507,17,15,9.266,9.256,13.013,13.747,long,1,20832,93565.44,48.526
NFLX,20100218,20100507,17,15,9.443,9.407,13.013,13.747,long,1,20083,87160.22,46.135
NFLX,20100219,20100507,17,15,9.521,9.577,13.013,13.747,long,1,19569,81602.73,43.541
NFLX,20100301,20100507,16,15,9.957,9.999,13.013,13.747,long,1,18385,68917.486,37.491
NFLX,20100310,20100507,20,15,10.183,10.157,13.013,13.747,long,1,17663,63410.17,35.345
NFLX,20100322,20100507,19,15,10.413,10.429,13.013,13.747,long,1,16970,56316.157,31.822
NFLX,20100323,20100507,18,15,10.423,10.419,13.013,13.747,long,1,16657,55444.014,31.948
NFLX,20100325,20100507,16,15,10.506,10.504,13.013,13.747,long,1,16237,52654.271,30.872
NFLX,20100330,20100507,15,15,10.723,10.614,13.013,13.747,long,1,15630,48966.557,29.515
NFLX,20100405,20100507,15,15,11.427,11.489,13.013,13.747,long,1,14410,32546.014,19.659
